blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
250010148002,"""Barnstable Town, MA""",1,862,483,362.64,52,64,62,35,44,41,17,20,20,5.64,7.51,1.68,2,2,14615,14451,15325,2,2,2,12885,12013,12639,10561,9716,10203,2282,2255,2392,42,42,45,15,15,16,6,5.3,1.66,1.33,6372,84,8493,81,3,348,592,2168,2311,1350,92,8
250010146003,"""Barnstable Town, MA""",1,585,263,424.41,58,71,68,38,47,45,20,23,23,7.84,4.86,1.88,2,2,18578,18243,19270,1,1,1,14716,13789,14434,11805,10931,11414,2900,2847,3007,11,11,12,4,4,4,3.7,3.9,0.82,0.62,5723,100,4136,82,8,158,1026,2347,2467,1861,87,13
250010143004,"""Barnstable Town, MA""",1,724,349,833.08,53,65,63,32,40,38,21,25,24,8.48,3.55,1.98,2,2,20636,20522,21607,1,1,1,15654,14697,15377,12415,11477,11986,3222,3203,3372,17,17,19,6,6,7,3.2,3.4,0.76,0.42,4777,84,4573,83,20,104,1028,1998,2075,,96,4
250010143005,"""Barnstable Town, MA""",1,800,425,1097.37,66,80,77,45,56,53,21,24,24,7.74,3,1.98,2,2,19398,19127,20290,1,1,1,15447,14459,15183,12407,11463,12004,3028,2985,3166,11,11,13,4,4,4,2.5,3.5,0.64,0.39,4557,100,4251,83,20,84,1531,2781,3000,,97,3
250010143003,"""Barnstable Town, MA""",1,965,340,747.29,55,68,65,34,42,40,22,25,25,9.95,4.53,2.02,2,2,21366,21050,22124,0,0,1,16005,15075,15680,12659,11780,12216,3336,3285,3453,10,10,11,4,4,4,3.4,3.8,0.81,0.45,4428,86,4564,82,17,91,1609,2089,2424,,92,8
250010140024,"""Barnstable Town, MA""",1,759,227,1083.13,53,65,62,30,38,36,23,27,27,10.78,2.26,2.14,2,2,23548,23326,24266,1,1,1,17096,16201,16716,13407,12547,12915,3676,3640,3787,14,14,15,5,5,5,2.5,3.7,0.71,0.21,4785,100,4666,83,20,74,1164,1867,2250,1274,69,31
250010140021,"""Barnstable Town, MA""",1,742,415,1652.1,76,93,89,57,71,67,19,22,22,5.83,1.47,1.84,2,2,15482,15410,16547,1,1,1,13968,12988,13760,11532,10564,11157,2417,2405,2582,18,19,20,6,7,7,2.9,3.7,0.84,0.25,5052,99,4802,83,15,100,1814,3534,3821,1732,96,4
250010140022,"""Barnstable Town, MA""",1,2116,985,1362.45,48,58,56,28,34,33,20,24,24,8.22,5.95,1.91,2,2,19817,19680,20692,1,1,1,15079,14173,14770,11968,11085,11522,3094,3071,3229,17,17,18,6,6,6,4.5,3.7,1.87,0.72,5661,76,5373,82,13,119,1041,1707,1776,1432,80,20
250010139003,"""Barnstable Town, MA""",1,1835,821,1041.55,49,60,58,30,37,35,20,23,23,8.1,6.39,1.86,2,2,19288,19140,20144,1,1,1,14678,13787,14363,11647,10780,11199,3011,2987,3144,19,19,21,7,7,7,5.7,3.9,1.27,0.79,6131,58,6023,82,14,138,954,1835,1975,1407,81,19
250010139004,"""Barnstable Town, MA""",1,910,501,1677.22,50,61,58,30,38,36,19,23,22,7.11,2.12,1.83,2,2,18286,18108,19140,1,1,1,14377,13461,14073,11500,10612,11062,2855,2826,2987,22,23,24,8,8,8,5.2,3.7,2.09,0.3,6109,62,6454,83,15,90,1273,1886,2276,851,80,20
